21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;373 089;2 281 067;2 000 997;498 577;5 817 890;1 269 920;1 121 832;150 016;633 813;527 311;266 258;688 523;940 356;1 251 962;584 130;352 163;315 947;276 465;1 595 729;10 584 300
2019.;I.;223 816;2 052 005;1 769 687;252 667;5 216 420;883 680;753 828;128 827;501 107;464 763;338 391;678 072;837 608;1 279 909;589 582;338 264;351 420;231 347;1 524 505;9 272 931
;II.;334 238;2 276 175;2 008 575;398 579;5 597 274;1 095 035;945 118;150 013;544 029;477 147;348 665;686 597;937 906;1 276 200;592 381;343 312;340 349;252 121;1 582 601;10 201 855
;III.;508 200;2 156 790;1 881 752;491 382;5 786 430;1 185 034;1 011 609;172 140;611 012;513 120;343 128;688 913;949 472;1 255 307;593 946;343 502;318 401;279 127;1 673 359;10 638 806
;IV.;369 602;2 306 490;1 994 037;516 231;6 133 047;1 362 023;1 203 568;162 054;669 805;582 704;304 202;709 972;990 060;1 271 157;580 974;362 696;328 167;302 844;1 694 082;11 053 010
2020.;I.;204 725;2 010 039;1 732 018;255 416;5 414 468;950 351;835 380;117 633;517 394;520 653;355 518;714 456;883 519;1 246 826;593 959;348 960;304 175;229 563;1 583 696;9 469 057
;II.;307 266;1 756 119;1 520 181;349 557;5 052 730;942 838;908 222;51 248;460 798;472 958;363 631;671 296;820 598;1 134 604;596 347;334 458;204 119;191 045;1 397 826;8 890 520
;III.;462 694;2 050 013;1 802 485;406 185;5 611 987;1 124 559;1 023 452;110 410;533 896;546 609;356 849;698 848;893 998;1 235 679;608 501;345 831;281 408;251 471;1 644 516;10 195 636
;IV.;345 601;2 295 329;1 993 591;505 070;5 899 113;1 250 948;1 213 600;60 926;586 630;629 364;316 866;686 229;963 534;1 260 679;597 617;383 133;281 397;268 974;1 660 030;10 739 435
2021.;I.;204 702;1 971 545;1 744 926;218 089;5 325 644;918 432;827 496;94 499;425 379;587 653;385 540;682 074;876 404;1 244 680;612 652;329 245;294 552;217 364;1 556 732;9 257 670
