14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Tartósított zöldség, zöldségkészítmények;7,4;5,2;6,0;9,6;10,6;6,4;7,3;8,3;7,6;5,7;10,0;11,4;5,4;8,2;8,6;5,4
Burgonya;30,3;34,1;24,2;40,5;41,4;40,4;31,9;27,7;22,3;25,4;39,5;46,2;22,6;27,0;35,5;23,8
Zöldség és burgonya összesen;82,6;70,3;64,6;109,8;123,4;90,3;84,5;82,6;74,1;65,8;106,6;136,8;58,6;68,4;101,0;60,9
Cukor;14,4;10,7;10,9;19,8;22,4;18,2;15,9;13,5;9,8;11,9;14,2;23,8;10,8;12,4;18,9;11,6
Ásványvíz, liter;81,6;62,7;73,3;101,2;95,2;55,4;80,4;95,3;91,7;97,7;127,5;109,1;63,9;55,2;85,3;52,3
Üdítõitalok, liter;32,7;37,7;32,9;35,8;28,0;30,3;35,7;32,4;30,4;39,0;46,0;28,7;31,4;29,7;32,8;27,3
Gyümölcslevek, liter;12,4;11,1;12,7;11,8;12,5;6,9;10,6;12,7;19,1;12,4;18,3;13,6;11,6;5,4;9,7;10,6
Bor, boralapú italok, liter;5,1;4,6;4,0;6,6;7,6;4,3;4,7;5,6;5,8;6,1;10,8;8,1;2,7;2,4;5,9;3,2
2016;;;;;;;;;;;;;;;;
Kenyér;37,0;37,4;33,2;43,2;44,9;50,8;41,7;32,7;25,7;36,3;49,2;48,5;30,3;36,5;38,3;31,3
Péksütemény;14,6;11,8;14,0;15,2;16,8;12,0;15,8;14,9;15,0;15,0;18,3;17,9;13,1;11,2;13,8;11,9
Egyéb cereáliák;34,3;27,6;28,5;42,0;49,0;41,4;36,6;32,5;28,1;29,7;38,9;52,3;26,7;34,2;38,8;28,8
Cereáliák összesen;86,0;76,8;75,7;100,3;110,7;104,3;94,2;80,1;68,7;81,0;106,4;118,8;70,1;81,9;91,0;72,0
Marha- és borjúhús;0,6;0,2;0,5;0,7;0,9;0,4;0,5;0,7;0,8;0,6;0,7;1,1;0,4;0,6;0,8;0,4
Sertéshús;18,5;14,9;14,7;24,7;26,9;22,2;23,0;16,4;12,9;10,6;21,7;28,2;13,8;26,6;26,7;12,8
Baromfihús;19,3;16,9;16,9;21,5;26,0;23,7;19,1;18,5;16,9;14,2;26,4;27,6;15,4;16,8;20,9;13,5
