20.2.1.36. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;;
;IV.;271,3;171,2;68,0;69,2;71,3;52,9;46,5;75,4;186,0;316,0;286,6;251,5;1 865,8
2012.;I.;269,9;173,4;67,3;69,2;70,8;52,4;47,5;72,0;188,9;317,5;285,6;254,0;1 868,6
;II.;266,8;172,6;68,5;65,5;70,4;48,9;47,4;65,1;185,2;316,6;286,1;254,8;1 848,0
;III.;261,8;161,7;59,6;58,2;68,3;50,6;45,8;61,2;185,6;316,8;286,4;257,0;1 813,1
;IV.;258,8;165,7;61,0;58,6;67,1;50,3;46,5;63,5;190,2;320,8;287,3;258,5;1 828,4
2013.;I.;257,3;171,2;63,3;57,9;68,7;51,4;46,0;66,8;191,9;321,0;289,8;259,8;1 845,2
;II.;251,9;175,4;62,7;53,4;65,1;49,2;43,2;64,1;179,2;323,9;289,9;261,1;1 819,2
;III.;249,1;167,8;66,0;52,8;58,3;45,3;48,5;61,9;172,5;324,9;291,7;263,1;1 801,9
;IV.;248,9;169,6;68,0;50,1;58,9;51,7;44,4;59,6;167,4;323,3;294,9;262,8;1 799,5
2014.;I.;244,4;167,7;61,7;47,0;55,3;49,1;43,6;59,4;160,3;326,9;297,9;263,9;1 777,2
;II.;241,9;162,6;59,0;50,6;60,1;49,7;43,2;58,2;152,7;324,0;299,0;265,4;1 766,3
;III.;236,8;158,9;59,4;51,5;60,9;46,8;39,8;50,9;145,2;324,2;299,3;266,5;1 740,1
;IV.;235,2;158,5;61,5;47,4;61,7;46,4;44,1;53,1;142,8;324,3;300,1;267,5;1 742,6
2015.;I.;235,4;157,9;56,5;45,3;58,9;45,5;43,9;52,2;138,5;323,1;301,9;268,8;1 727,9
;II.;233,1;154,5;59,3;45,6;56,1;46,0;43,1;45,6;131,1;320,3;302,8;268,0;1 705,4
;III.;228,9;149,6;61,4;45,4;53,5;45,3;42,3;40,0;129,4;312,6;307,7;267,3;1 683,4
;IV.;227,4;149,6;61,7;42,5;54,2;44,4;43,1;42,3;126,2;314,2;310,5;266,7;1 682,8
2016.;I.;228,7;147,6;57,7;43,7;55,6;45,6;49,0;44,1;117,6;310,4;313,6;266,2;1 679,9
;II.;226,9;151,1;56,5;42,2;51,0;43,4;43,6;44,1;111,6;302,8;317,4;266,0;1 656,4
;III.;221,4;141,2;58,1;42,4;46,5;47,1;41,4;43,0;105,7;302,2;319,9;264,5;1 633,2
;IV.;222,2;136,6;52,3;43,4;49,5;48,4;39,7;45,6;103,0;301,1;320,1;264,7;1 626,7
2017.;I.;222,6;140,7;52,8;44,2;53,1;50,7;35,4;47,4;105,0;304,3;324,4;262,8;1 643,4
;II.;221,8;138,9;55,0;45,0;53,4;46,7;38,6;44,0;99,9;300,0;324,0;264,1;1 631,3
;III.;218,3;138,2;56,9;39,0;44,5;42,1;36,7;49,9;96,2;295,7;326,1;264,2;1 607,9
;IV.;219,8;135,5;54,8;40,3;43,5;41,6;38,9;47,9;100,9;287,8;326,4;264,2;1 601,5
2018.;I.;219,2;145,1;57,0;40,5;44,2;42,3;40,6;43,1;90,3;288,2;325,3;263,8;1 599,4
;II.;221,1;136,5;56,6;42,8;45,3;38,3;36,6;41,4;94,7;282,4;329,9;263,8;1 589,4
;III.;216,7;129,7;54,7;40,9;42,3;42,0;35,7;41,5;90,1;275,3;327,5;267,8;1 564,3
;IV.;217,3;130,6;60,7;41,7;41,7;46,8;34,9;42,2;94,1;270,2;332,0;268,7;1 580,9
2019.;I.;216,2;139,1;54,8;42,0;40,1;45,1;37,7;46,0;94,1;269,2;329,1;270,5;1 583,9
;II.;220,0;140,6;51,4;41,2;40,5;44,0;37,4;48,6;88,6;265,8;328,4;270,7;1 576,9
;III.;220,2;130,8;47,8;43,5;41,8;41,4;34,4;54,7;87,2;259,3;334,7;271,5;1 567,4
;IV.;218,4;131,0;51,2;45,2;46,2;50,9;32,5;50,3;87,4;252,6;334,0;273,2;1 573,0
2020.;I.;220,2;126,2;53,1;55,9;41,1;51,8;40,6;48,5;80,8;246,3;333,6;275,6;1 573,7
;II.;222,1;125,3;54,6;54,5;44,0;55,9;42,4;46,8;86,9;236,0;332,2;275,6;1 576,1
;III.;218,4;122,1;51,9;51,0;44,4;46,0;44,5;42,5;78,4;231,7;341,2;280,0;1 552,1
;IV.;223,4;130,3;51,6;53,3;41,7;51,8;44,4;42,9;78,0;219,6;339,5;284,7;1 561,2
2021.;I.;223,4;125,6;57,2;54,4;46,7;49,8;47,5;44,7;76,3;218,0;335,2;286,2;1 565,1
;II.;222,8;124,6;54,8;50,1;40,9;45,0;40,5;40,1;69,6;213,9;337,1;287,4;1 526,6
;III.;219,6;119,6;54,4;42,4;40,1;41,5;40,4;41,2;63,6;210,2;335,0;289,1;1 497,1
;IV.;221,6;116,1;52,5;41,6;38,2;36,2;37,7;41,6;65,9;203,3;331,7;292,1;1 478,5
2022.;I.;223,6;124,2;51,5;39,7;40,9;41,9;37,1;41,4;63,6;200,7;335,3;291,1;1 490,9
;II.;224,7;128,5;53,6;41,4;39,4;40,1;39,8;37,5;61,8;197,9;334,4;291,0;1 490,1
;III.;221,1;120,7;51,5;43,4;34,3;35,9;39,5;38,5;64,4;191,1;332,9;293,0;1 466,6
;IV.;;;;;;;;;;;;;
