20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
;II.;38,1;16,0;6,4;4,3;3,0;3,9;3,8;3,2;2,6;2,4;             ...;             ...;4,6;17,7
;III.;19,4;12,7;5,6;4,4;4,2;4,1;2,7;3,2;3,0;2,6;             ...;             ...;4,3;13,3
;IV.;25,8;11,3;5,6;3,7;4,8;3,7;2,7;2,1;3,5;3,5;             ...;             ...;4,1;12,4
2021.;I.;30,2;16,1;5,5;6,5;4,4;3,8;4,0;2,3;2,7;4,0;             ...;             ...;4,9;17,1
;II.;36,4;14,3;4,7;4,3;4,9;2,6;2,9;3,2;1,8;2,6;             ...;             ...;4,2;16,0
;III.;29,1;13,5;4,6;4,8;4,0;2,8;2,7;3,1;2,0;2,2;             ...;             ...;4,0;15,2
;IV.;24,1;12,7;3,7;4,7;3,3;3,0;2,6;3,4;3,1;2,4;             …;             …;3,9;13,8
2022. ;I.;25,1;8,4;4,1;4,2;3,7;2,6;2,5;3,5;2,7;2,7;             …;             …;3,6;10,0
;II.;28,4;7,9;2,6;3,1;3,2;2,6;1,7;2,7;2,6;3,8;             …;             …;3,1;9,7
;III.;21,6;8,5;5,5;2,6;3,9;2,8;2,4;2,8;1,3;5,7;             …;             …;3,5;10,0
;IV.;;;;;;;;;;;;;;
