20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Dél-Alföld;régió;480,3;55,1;535,4;352,0;887,3;85,9;60,3;10,3;54,1
Alföld és Észak;nagyrégió;1 379,7;215,8;1 595,5;1 135,2;2 730,7;350,1;58,4;13,5;50,5
Összesen;ország;3 848,7;403,6;4 252,3;2 508,2;6 760,5;653,4;62,9;9,5;56,9
2009. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;756,2;44,4;800,6;342,5;1 143,1;71,1;70,0;5,5;66,2
Pest;megye, régió;506,6;33,8;540,5;273,2;813,6;52,4;66,4;6,3;62,3
Közép-Magyarország;nagyrégió;1 262,8;78,2;1 341,0;615,7;1 956,7;123,5;68,5;5,8;64,5
Fejér;megye;175,6;14,2;189,8;101,4;291,2;21,1;65,2;7,5;60,3
Komárom-Esztergom;megye;130,8;9,9;140,6;72,1;212,7;16,0;66,1;7,0;61,5
Veszprém;megye;145,9;15,2;161,1;83,9;245,0;20,5;65,8;9,4;59,6
Közép-Dunántúl;régió;452,3;39,2;491,5;257,4;748,9;57,6;65,6;8,0;60,4
Gyõr-Moson-Sopron;megye;191,3;11,8;203,2;101,1;304,3;16,5;66,8;5,8;62,9
Vas;megye;104,5;11,7;116,2;62,4;178,6;16,2;65,1;10,1;58,5
Zala;megye;122,0;13,5;135,5;62,3;197,8;18,8;68,5;10,0;61,7
Nyugat-Dunántúl;régió;417,8;37,1;454,9;225,7;680,7;51,4;66,8;8,2;61,4
Baranya;megye;146,1;18,4;164,6;99,2;263,8;31,4;62,4;11,2;55,4
Somogy;megye;108,1;15,2;123,3;94,2;217,5;27,5;56,7;12,3;49,7
Tolna;megye;87,8;9,6;97,4;64,0;161,4;16,0;60,3;9,9;54,4
Dél-Dunántúl;régió;342,0;43,3;385,3;257,5;642,7;75,0;59,9;11,2;53,2
Dunántúl;nagyrégió;1 212,1;119,6;1 331,7;740,6;2 072,3;184,0;64,3;9,0;58,5
Borsod-Abaúj-Zemplén;megye;231,1;41,4;272,5;197,0;469,5;70,9;58,0;15,2;49,2
Heves;megye;109,1;15,6;124,6;84,6;209,2;23,6;59,6;12,5;52,1
