;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
;III.;3 712 533;2 748 436;1 171 115;4 883 648;3 246 447;2 582 767;1 338 343;4 584 790;466 086;165 669;-167 228;298 858;3 710 389;2 724 113;1 212 786;4 923 175;3 245 877;2 552 267;1 447 873;4 693 750;464 512;171 846;-235 087;229 425;89,3;91,8;96,3;90,9;86,8;87,6;87,7;87,0
;IV.;3 957 854;2 920 321;1 176 625;5 134 479;3 292 716;2 591 870;1 642 534;4 935 250;665 138;328 451;-465 909;199 229;4 008 901;2 951 925;1 199 486;5 208 387;3 307 183;2 576 784;1 805 190;5 112 373;701 718;375 141;-605 704;96 014;99,3;103,4;103,7;100,3;96,8;97,7;104,6;99,5
2010.;I.;3 775 128;2 821 038;1 129 362;4 904 490;3 173 181;2 488 043;1 440 941;4 614 122;601 947;332 995;-311 579;290 368;3 890 364;2 921 119;1 135 505;5 025 869;3 271 799;2 576 888;1 464 645;4 736 444;618 565;344 231;-329 140;289 425;107,9;109,7;118,9;110,2;106,7;106,3;111,5;108,2
;II.;4 167 770;3 081 126;1 308 645;5 476 415;3 522 436;2 755 454;1 588 466;5 110 902;645 334;325 672;-279 821;365 513;4 146 719;3 093 782;1 263 499;5 410 218;3 512 864;2 768 027;1 499 949;5 012 813;633 855;325 755;-236 450;397 405;112,6;114,1;116,2;113,4;110,6;110,5;117,7;112,8
;III.;4 351 473;3 194 589;1 523 209;5 874 682;3 823 703;2 930 323;1 724 210;5 547 913;527 770;264 266;-201 001;326 769;4 158 061;3 069 054;1 434 479;5 592 540;3 705 165;2 859 996;1 579 056;5 284 221;452 896;209 058;-144 577;308 319;109,3;108,9;117,1;111,2;110,8;107,5;111,2;111,0
;IV.;4 594 685;3 350 618;1 442 146;6 036 831;3 884 246;2 985 571;1 829 777;5 714 023;710 439;365 047;-387 631;322 808;4 475 735;3 285 529;1 369 090;5 844 825;3 813 867;2 957 802;1 751 988;5 565 855;661 868;327 727;-382 898;278 970;108,9;107,6;113,0;109,8;112,0;110,1;99,0;107,3
2011.;I.;4 540 760;3 309 906;1 355 834;5 896 594;3 813 610;2 976 318;1 683 717;5 497 327;727 150;333 588;-327 883;399 267;4 429 804;3 256 302;1 352 799;5 782 603;3 740 293;2 936 309;1 642 483;5 382 776;689 511;319 993;-289 684;399 827;112,4;110,8;114,7;112,9;113,5;114,0;107,2;111,5
;II.;4 479 699;3 278 474;1 379 772;5 859 471;3 844 380;2 969 604;1 586 418;5 430 798;635 319;308 870;-206 646;428 673;4 455 798;3 303 413;1 395 344;5 851 142;3 811 552;2 959 693;1 558 399;5 369 951;644 246;343 720;-163 055;481 191;106,1;106,1;106,3;106,1;107,8;107,0;99,4;105,1
;III.;4 627 134;3 356 179;1 462 081;6 089 215;3 989 656;3 093 722;1 654 515;5 644 171;637 478;262 457;-192 434;445 044;4 511 498;3 301 597;1 449 146;5 960 644;3 852 629;3 001 274;1 592 667;5 445 296;658 869;300 323;-143 521;515 348;107,1;106,9;97,3;104,6;103,3;105,0;96,5;101,1
;IV.;5 140 586;3 720 871;1 579 161;6 719 747;4 369 025;3 360 849;1 990 690;6 359 715;771 561;360 022;-411 529;360 032;4 686 739;3 412 110;1 439 729;6 126 468;3 928 687;3 027 143;1 711 139;5 639 826;758 052;384 967;-271 410;486 642;103,4;103,2;101,3;102,8;102,3;102,4;93,4;99,5
