14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Nagyértékû riasztóberendezés;4;6;10;7;4;6;3;5;6;6;4;3;4;3;3;3
Motorkerékpár;2;9;14;9;13;10;4;7;5;11;6;4;8;1;7;1
Személygépkocsi;42;91;107;96;104;92;28;80;67;101;56;28;44;17;38;17
Ebbõl:;;;;;;;;;;;;;;;;
saját;41;86;100;85;96;86;26;77;66;96;53;26;40;17;35;17
2018;;;;;;;;;;;;;;;;
Hûtõszekrény;26;27;29;40;44;32;42;34;39;42;39;42;46;39;39;44
Fagyasztógép;26;44;52;49;61;48;29;47;63;64;44;29;24;33;22;36
Hûtõ- és fagyasztógép;73;79;78;71;74;76;59;72;70;69;65;59;54;63;62;57
Mikrohullámú sütõ;95;98;97;94;99;97;85;92;94;97;90;85;81;87;83;87
Mosogatógép;21;31;47;40;33;35;9;27;20;30;18;9;8;10;11;7
Mosógép;95;99;100;98;102;99;93;95;98;100;96;93;91;95;92;95
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;87;89;88;86;90;89;81;88;90;89;85;81;77;84;80;82
Mosógép szárítóval;2;6;8;2;4;5;2;3;3;7;3;2;2;3;2;2
Szárítógép;4;8;12;17;6;9;1;4;1;6;2;1;1;1;1;1
Televízió, színes;172;176;188;186;221;189;121;168;165;218;152;121;118;123;120;122
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;105;125;136;109;127;124;57;99;89;131;82;57;53;59;64;50
Digitális kamera;6;13;19;14;11;14;3;10;7;11;6;3;5;2;4;2
Digitális fényképezõgép;23;43;54;35;37;41;16;34;25;38;25;16;19;14;23;10
DVD-lejátszó és -felvevõ;34;41;47;43;41;42;19;32;27;41;26;19;19;18;23;15
E-könyv olvasó;0;8;5;10;2;5;2;6;1;6;3;2;1;2;3;1
Házimozi-berendezés;6;10;11;11;10;10;4;8;4;11;6;4;5;3;7;1
Asztali számítógép (PC);52;58;69;72;68;64;25;50;38;62;38;25;31;21;32;18
Hordozható számítógép (laptop, notebook);74;87;88;74;87;84;30;74;40;91;49;30;32;29;44;16
Kézi számítógép (tablet, PDA);22;36;43;32;28;34;6;17;9;21;11;6;7;5;8;3
Mobiltelefon;215;258;295;310;369;290;101;208;167;299;162;101;107;97;114;88
Vezetékes telefon;34;45;50;42;47;45;47;48;69;61;53;47;35;56;33;61
Légkondicionáló;7;16;20;11;12;14;7;11;9;13;9;7;8;7;8;6
Nagyértékû riasztóberendezés;4;7;11;5;5;7;4;7;7;8;6;4;4;3;5;3
Motorkerékpár;1;11;13;10;15;11;3;7;5;10;5;3;6;1;5;1
Személygépkocsi;48;99;114;96;110;98;31;83;68;112;60;31;44;21;42;19
Ebbõl:;;;;;;;;;;;;;;;;
saját;48;93;105;88;103;92;30;80;67;108;58;30;42;21;40;19
2019;;;;;;;;;;;;;;;;
Hûtõszekrény;18;29;27;35;37;29;41;29;38;38;38;41;45;39;40;42
Fagyasztógép;27;44;45;62;66;48;30;44;63;66;44;30;27;33;22;39
Hûtõ- és fagyasztógép;79;78;77;72;76;77;57;76;72;69;66;57;50;63;57;58
Mikrohullámú sütõ;95;98;93;92;94;95;85;91;94;96;89;85;83;87;84;86
Mosogatógép;23;34;46;40;34;37;11;27;23;31;20;11;10;12;14;8
Mosógép;97;99;101;96;103;100;94;96;98;102;96;94;93;94;92;95
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;91;92;89;81;88;89;82;90;89;93;87;82;80;84;80;84
Mosógép szárítóval;2;6;9;8;6;6;2;4;3;5;3;2;2;2;3;1
Szárítógép;5;9;14;14;10;11;1;5;3;8;3;1;1;1;2;1
Televízió, színes;153;168;179;185;235;184;117;159;168;217;149;117;112;121;112;122
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;113;130;138;107;164;134;65;110;101;145;92;65;61;67;69;60
Digitális kamera;5;11;18;9;13;12;3;10;5;9;6;3;3;3;4;2
Digitális fényképezõgép;17;38;40;28;24;32;15;28;20;27;20;15;18;13;20;10
DVD-lejátszó és -felvevõ;25;31;35;23;34;31;18;27;25;30;23;18;17;18;23;13
E-könyv olvasó;0;5;9;5;2;5;2;4;1;4;3;2;2;2;3;1
Házimozi-berendezés;8;10;12;7;9;10;4;6;3;8;5;4;6;3;7;1
Asztali számítógép (PC);53;53;59;72;62;58;24;47;38;57;36;24;27;21;29;19
Hordozható számítógép (laptop, notebook);69;99;109;84;91;95;36;79;47;92;55;36;39;34;54;18
Kézi számítógép (tablet, PDA);29;34;45;35;30;36;8;17;9;18;12;8;9;8;13;3
Mobiltelefon;215;259;302;328;369;293;101;210;173;302;164;101;106;98;112;90
Vezetékes telefon;39;44;39;36;51;43;47;46;70;58;53;47;33;56;34;59
